date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused1,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused2,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused3,unused4,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
2020-03-01,US,FL,,12,,,iso1:us#iso2:us-fl,2,0,,31,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-02,US,FL,,12,,,iso1:us#iso2:us-fl,2,0,6,117,,,,,,,,,,0,,,,,,0.0,,,,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-03,US,FL,,12,,,iso1:us#iso2:us-fl,3,0,6,202,,,,,,,,,,1,,,,0.086,,0.0,,1.76,0.86,,,,0,,,0,,0,2,,,0.0,,,,,,,,,,,,,,,
2020-03-04,US,FL,,12,,,iso1:us#iso2:us-fl,3,0,22,341,,,,,,,,,,0,,,,0.072,,0.0,,1.81,0.71,,,,0,,,0,,0,1,,,0.0,,,,,,,,,,,,,,,
2020-03-05,US,FL,,12,,,iso1:us#iso2:us-fl,4,0,42,615,,,,,,,,,,1,,,,0.076,,0.0,,1.86,0.59,,,,0,,,0,,0,1,,,0.0,,,,,,,,,,,,,,,
2020-03-06,US,FL,,12,,,iso1:us#iso2:us-fl,7,2,59,830,,,,,,,,,,3,,,,0.077,,0.0,,1.91,0.6,,,,0,,,2,,0,1,,,0.0,,,,,,,,,,,,,,,
2020-03-07,US,FL,,12,,,iso1:us#iso2:us-fl,12,2,65,1010,,,,,,,,,,5,,,,0.067,,0.0,,1.95,0.56,,,,0,,,0,,0,1,,,0.0,,,,,,,,,,,,,,,
2020-03-08,US,FL,,12,,,iso1:us#iso2:us-fl,13,2,79,1148,,,,,,,,,,1,,,,0.071,,0.0,,2.0,0.56,,,,0,,,0,,0,1,,,0.1,,,,,,,,,,,,,,,
2020-03-09,US,FL,,12,,,iso1:us#iso2:us-fl,14,2,112,1448,,,,,,,,,,1,,,,0.074,,0.0,,2.04,0.57,,,,0,,,0,,0,1,,,0.1,,,,,,,,,,,,,,,
2020-03-10,US,FL,,12,,,iso1:us#iso2:us-fl,23,2,122,1695,,,,,,,,,,9,,,,0.067,,0.0,,2.08,0.51,,,,0,,,0,,0,1,,,0.1,,,,,,,,,,,,,,,
