date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused1,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused2,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused3,unused4,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
2020-03-01,US,NY,,36,,,iso1:us#iso2:us-ny,1,0,1,3,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-02,US,NY,,36,,,iso1:us#iso2:us-ny,1,0,7,4,,,,,,,,,,0,,,,0.857,,0.0,,,,,,,0,,,0,,0,3,,,0.0,,,,,,,,,,,,,,,
2020-03-03,US,NY,,36,,,iso1:us#iso2:us-ny,2,0,7,26,,,,,,,,,,1,,,,0.549,,0.0,,2.02,0.78,,,,0,,,0,,0,3,,,0.0,,,,,,,,,,,,,,,
2020-03-04,US,NY,,36,,,iso1:us#iso2:us-ny,11,0,51,92,,,,,,,,,,9,,,,0.36,,0.0,,2.08,0.24,,,,0,,,0,,0,3,,,0.1,,,,,,,,,,,,,,,
2020-03-05,US,NY,,36,,,iso1:us#iso2:us-ny,22,0,95,207,,,,,,,,,,11,,,,0.315,,0.0,,2.14,0.2,,,,0,,,0,,0,3,,,0.2,,,,,,,,,,,,,,,
2020-03-06,US,NY,,36,,,iso1:us#iso2:us-ny,44,0,148,385,,,,,,,,,,22,,,,0.278,,0.0,,2.2,0.14,,,,0,,,0,,0,3,,,0.3,,,,,,,,,,,,,,,
2020-03-07,US,NY,,36,,,iso1:us#iso2:us-ny,89,0,181,700,,,,,,,,,,45,,,,0.205,,0.1,,2.26,0.12,,,,0,,,0,,0,3,,,0.5,,,,,,,,,,,,,,,
2020-03-08,US,NY,,36,,,iso1:us#iso2:us-ny,106,0,233,1073,,,,,,,,,,17,,,,0.178,,0.1,,2.31,0.14,,,,0,,,0,,0,3,,,0.5,,,,,,,,,,,,,,,
2020-03-09,US,NY,,36,,,iso1:us#iso2:us-ny,142,0,278,1449,,,,,,,,,,36,,,,0.158,,0.1,,2.35,0.21,,,,0,,,0,,0,3,,,0.7,,,,,,,,,,,,,,,
2020-03-10,US,NY,,36,,,iso1:us#iso2:us-ny,173,0,388,2013,,,,,,,,,,31,,,,0.153,,0.1,,2.39,0.29,,,,0,,,0,,0,3,,,0.9,,,,,,,,,,,,,,,
