date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused1,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused2,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused3,unused4,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
2020-02-12,US,TX,,48,,,iso1:us#iso2:us-tx,1,0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-13,US,TX,,48,,,iso1:us#iso2:us-tx,2,0,,,,,,,,,,,,1,,,,,,0.0,,,,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-14,US,TX,,48,,,iso1:us#iso2:us-tx,2,0,,,,,,,,,,,,0,,,,,,0.0,,1.06,1.06,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-15,US,TX,,48,,,iso1:us#iso2:us-tx,2,0,,,,,,,,,,,,0,,,,,,0.0,,1.07,1.05,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-16,US,TX,,48,,,iso1:us#iso2:us-tx,2,0,,,,,,,,,,,,0,,,,,,0.0,,1.08,1.05,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-17,US,TX,,48,,,iso1:us#iso2:us-tx,2,0,,,,,,,,,,,,0,,,,,,0.0,,1.1,1.06,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-18,US,TX,,48,,,iso1:us#iso2:us-tx,2,0,,,,,,,,,,,,0,,,,,,0.0,,1.11,1.06,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-19,US,TX,,48,,,iso1:us#iso2:us-tx,2,0,,,,,,,,,,,,0,,,,,,0.0,,1.13,1.08,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-20,US,TX,,48,,,iso1:us#iso2:us-tx,2,0,,,,,,,,,,,,0,,,,,,0.0,,1.15,1.09,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-21,US,TX,,48,,,iso1:us#iso2:us-tx,4,0,,,,,,,,,,,,2,,,,,,0.0,,1.17,1.09,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-22,US,TX,,48,,,iso1:us#iso2:us-tx,4,0,,,,,,,,,,,,0,,,,,,0.0,,1.2,1.08,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-23,US,TX,,48,,,iso1:us#iso2:us-tx,4,0,,,,,,,,,,,,0,,,,,,0.0,,1.23,1.07,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-24,US,TX,,48,,,iso1:us#iso2:us-tx,10,0,,,,,,,,,,,,6,,,,,,0.0,,1.26,1.06,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-25,US,TX,,48,,,iso1:us#iso2:us-tx,10,0,,,,,,,,,,,,0,,,,,,0.0,,1.29,1.05,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-26,US,TX,,48,,,iso1:us#iso2:us-tx,10,0,,,,,,,,,,,,0,,,,,,0.0,,1.32,1.03,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-27,US,TX,,48,,,iso1:us#iso2:us-tx,10,0,,,,,,,,,,,,0,,,,,,0.0,,1.36,1.01,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-28,US,TX,,48,,,iso1:us#iso2:us-tx,11,0,,,,,,,,,,,,1,,,,,,0.0,,1.41,1.0,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-02-29,US,TX,,48,,,iso1:us#iso2:us-tx,11,0,,,,,,,,,,,,0,,,,,,0.0,,1.46,0.97,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-01,US,TX,,48,,,iso1:us#iso2:us-tx,11,0,,,,,,,,,,,,0,,,,,,0.0,,1.52,0.95,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-02,US,TX,,48,,,iso1:us#iso2:us-tx,11,0,,2,,,,,,,,,,0,,,,,,0.0,,1.58,0.91,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-03,US,TX,,48,,,iso1:us#iso2:us-tx,11,0,,6,,,,,,,,,,0,,,,,,0.0,,1.64,0.89,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-04,US,TX,,48,,,iso1:us#iso2:us-tx,12,0,,16,,,,,,,,,,1,,,,,,0.0,,1.7,0.88,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-05,US,TX,,48,,,iso1:us#iso2:us-tx,16,0,1,26,,,,,,,,,,4,,,,,,0.0,,1.76,0.82,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-06,US,TX,,48,,,iso1:us#iso2:us-tx,19,0,1,45,,,,,,,,,,3,,,,0.0,,0.0,,1.83,0.77,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-07,US,TX,,48,,,iso1:us#iso2:us-tx,19,0,1,45,,,,,,,,,,0,,,,0.0,,0.0,,1.9,0.7,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-08,US,TX,,48,,,iso1:us#iso2:us-tx,23,0,1,45,,,,,,,,,,4,,,,0.0,,0.0,,1.96,0.65,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-09,US,TX,,48,,,iso1:us#iso2:us-tx,24,0,2,54,,,,,,,,,,1,,,,0.033,,0.0,,2.02,0.57,,,,0,,,0,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-10,US,TX,,48,,,iso1:us#iso2:us-tx,31,0,3,59,,,,,,,,,,7,,,,0.05,,0.0,,2.07,0.59,,,,0,,,0,,0,1,,,0.1,,,,,,,,,,,,,,,
2020-03-11,US,TX,,48,,,iso1:us#iso2:us-tx,33,0,5,91,,,,,,,,,,2,,,,0.059,,0.0,,2.12,0.62,,,,0,,,0,,0,1,,,0.1,,,,,,,,,,,,,,,
2020-03-12,US,TX,,48,,,iso1:us#iso2:us-tx,41,0,11,116,,,,,,,,,,8,,,,0.1,,0.0,,2.16,0.6,,,,0,,,0,,0,3,,,0.1,,,,,,,,,,,,,,,
2020-03-13,US,TX,,48,,,iso1:us#iso2:us-tx,58,0,25,181,,,,,,,,,,17,,,,0.15,,0.0,,2.18,0.48,,,,0,,,0,,0,3,,,0.1,,,,,,,,,,,,,,,
2020-03-14,US,TX,,48,,,iso1:us#iso2:us-tx,69,0,34,248,,,,,,,,,,11,,,,0.142,,0.0,,2.2,0.39,,,,0,,,0,,0,3,,,0.2,,,,,,,,,,,,,,,
2020-03-15,US,TX,,48,,,iso1:us#iso2:us-tx,80,0,40,342,,,,,,,,,,11,,,,0.118,,0.0,,2.21,0.32,,,,0,,,0,,0,3,,,0.2,,,,,,,,,,,,,,,
2020-03-16,US,TX,,48,,,iso1:us#iso2:us-tx,87,1,46,403,,,,,,,,,,7,,,,0.112,,0.0,,2.2,0.31,,,,0,,,1,,0,3,,,0.2,,,,,,,,,,,,,,,
2020-03-17,US,TX,,48,,,iso1:us#iso2:us-tx,106,1,119,965,,,,,,,,,,19,,,,0.114,,0.0,,2.18,0.29,,,,0,,,0,,0,3,,,0.3,,,,,,,,,,,,,,,
2020-03-18,US,TX,,48,,,iso1:us#iso2:us-tx,166,2,259,2530,,,,,,,,,,,,,,0.094,,,,2.16,0.25,,,,0,,,1,,0,2,,,,,,,,,,,,,,,,,,
2020-03-19,US,TX,,48,,,iso1:us#iso2:us-tx,248,4,453,4624,,,,,,,,,,82,,,,0.089,,0.1,,2.12,0.21,,,,0,,,2,,0,2,,,0.6,,,,,,,,,,,,,,,
2020-03-20,US,TX,,48,,,iso1:us#iso2:us-tx,386,5,648,6861,,,,,,,,,,138,,,,0.085,,0.2,,2.08,0.16,,,,0,,,1,,0,2,,,1.1,,,,,,,,,,,,,,,
2020-03-21,US,TX,,48,,,iso1:us#iso2:us-tx,547,5,840,9246,,,,,,,,,,161,,,,0.082,,0.2,,2.03,0.12,,,,0,,,0,,0,2,,,1.7,,,,,,,,,,,,,,,
2020-03-22,US,TX,,48,,,iso1:us#iso2:us-tx,639,7,1015,10581,,,,,,,,,,92,,,,0.087,,0.3,,1.98,0.1,,,,0,,,2,,0,2,,,2.0,,,,,,,,,,,,,,,
2020-03-23,US,TX,,48,,,iso1:us#iso2:us-tx,728,7,1374,12310,,,,,,,,,,89,,,,0.1,,0.3,,1.93,0.11,,,,0,,,0,,0,3,,,2.3,,,,,,,,,,,,,,,
2020-03-24,US,TX,,48,,,iso1:us#iso2:us-tx,857,11,1949,15886,,,,,,,,,,129,,,,0.109,,0.4,,1.87,0.1,,,,0,,,4,,0,3,,,2.8,,,,,,,,,,,,,,,
2020-03-25,US,TX,,48,,,iso1:us#iso2:us-tx,1132,13,2487,19332,,,,,,,,,,275,,,,0.117,,0.5,,1.81,0.1,,,,0,,,2,,0,3,,,3.3,,,,,,,,,,,,,,,
